cod_articulo,precio,descripcion,descripcion_adic,escala_1,escala_2,cod_unidad_medida,cod_barra,usa_escala,cta_compras,lleva_partida,lleva_serie,alicuota_iva,cta_ventas,cod_proveedor,sinonimo,alicuota_iva_co,porc_comision_ventas,porc_utilidad,stk_maximo,stk_minimo,punto_pedido,equivalencia,unidad_medida_compra
100676,"0.00","LAPIZ LAB.SATIN CASUAL 305 ROSA SOÑADO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100691,"0.00","HANDS UP EXFOLIANTE PARA MANOS","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100692,"0.00","HANDS UP CREMA PARA MANOS 110G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100695,"0.00","EAU TOILETTE MASC. BLUE LAKE 50ML","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100696,"0.00","CLEAR FACE JAB CARBON ACTIVADO 60G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100698,"0.00","HOMME SPORT EXTREME SET REGALABLE","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100699,"0.00","RUBOR COMPACTO SK LL 01 ROSA","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100702,"0.00","POLVO COMPACTO SK LL 02 BEIGE MEDIANO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100705,"0.00","LABIAL MATTE YOU 01 NUDE 3,5 G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100706,"0.00","LABIAL MATTE YOU 02 ROSA 3,5 G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100707,"4999.00","LABIAL MATTE YOU 03 ROSA INTENSO 3,5 G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100708,"0.00","LABIAL MATTE YOU 04 ROJO 3,5 G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100709,"0.00","LABIAL MATTE YOU 05 BORDO 3,5 G","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100710,"0.00","ESMALTE P/UÑAS YOU 01 CIRUELA INTENSO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100711,"3699.00","ESMALTE P/UÑAS YOU 02 ROJO SENSACION","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
100712,"0.00","ESMALTE P/UÑAS YOU 03 VIOLETA OSADO","","","","UNI","","N","","N","N","1","11301","","","1","0","0","0","0","0","1","UNI"
