orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
34,"B0000304653374","2025-06-17",11136820,2,42422.71,15387.90,35060.09,0.00,7362.62,0.00000000000,"1219.61",0.00,"13798.50","1589.40","","0.00","0.00",085
35,"B0000304653375","2025-06-17",11152486,2,67524.99,28107.30,55805.78,0.00,11719.21,0.00000000000,"1941.28",0.00,"28107.30","0.00","","0.00","0.00",085
36,"B0000304653376","2025-06-17",11488816,2,50516.35,19420.95,41749.05,0.00,8767.30,0.00000000000,"1452.30",0.00,"18296.40","1124.55","","0.00","0.00",085
37,"B0000304653377","2025-06-17",11709626,2,43925.21,15027.60,36301.82,0.00,7623.38,0.00000000000,"1262.81",0.00,"12748.20","2279.40","","0.00","0.00",085
38,"B0000304653378","2025-06-17",11709677,2,145591.85,57367.80,120323.85,0.00,25268.01,0.00000000000,"4185.62",0.00,"55103.40","2264.40","","0.00","0.00",085
39,"B0000304653379","2025-06-17",11761415,2,143971.71,43132.35,118984.88,0.00,24986.83,0.00000000000,"4139.05",0.00,"31375.20","11757.15","","0.00","0.00",085
40,"B0000304653380","2025-06-17",11960582,2,71122.83,29604.90,58779.20,0.00,12343.63,0.00000000000,"2044.71",0.00,"29604.90","0.00","","0.00","0.00",085
41,"B0000304653381","2025-06-17",11984724,2,23759.88,5769.20,19636.27,0.00,4123.62,0.00000000000,"683.07",0.00,"5769.20","0.00","","0.00","0.00",085
42,"B0000304653382","2025-06-17",12344214,2,101677.48,28825.65,84030.97,0.00,17646.50,0.00000000000,"2923.13",0.00,"19377.30","9448.35","","0.00","0.00",085
43,"B0000304653383","2025-06-17",12344257,2,33701.60,12957.30,27852.56,0.00,5849.04,0.00000000000,"968.89",0.00,"12207.60","749.70","","0.00","0.00",085
44,"B0000304653384","2025-06-17",12380040,2,64187.33,25647.00,53047.38,0.00,11139.95,0.00000000000,"1845.32",0.00,"24897.30","749.70","","0.00","0.00",085
45,"B0000304653385","2025-06-17",12536482,2,60531.63,18597.60,50026.14,0.00,10505.49,0.00000000000,"1740.23",0.00,"13978.50","4619.10","","0.00","0.00",085
46,"B0000304653386","2025-06-17",12687251,2,58616.62,23756.55,48443.49,0.00,10173.13,0.00000000000,"1685.17",0.00,"23306.70","449.85","","0.00","0.00",085
47,"B0000304653387","2025-06-17",12730696,2,30882.76,6499.10,25522.94,0.00,5359.82,0.00000000000,"887.85",0.00,"5699.40","799.70","","0.00","0.00",085
48,"B0000304653388","2025-06-17",12767336,2,54458.03,11598.60,45006.63,0.00,9451.39,0.00000000000,"1565.62",0.00,"10299.00","1299.60","","0.00","0.00",085
49,"B0000304653389","2025-06-17",12792390,2,29540.97,9297.30,24414.03,0.00,5126.95,0.00000000000,"849.27",0.00,"7197.90","2099.40","","0.00","0.00",085
50,"B0000304653390","2025-06-17",12800970,2,63980.06,18147.30,52876.09,0.00,11103.98,0.00000000000,"1839.36",0.00,"12208.20","5939.10","","0.00","0.00",085
51,"B0000304653391","2025-06-17",12887340,2,39576.07,5048.70,32707.50,0.00,6868.57,0.00000000000,"1137.77",0.00,"2399.60","2649.10","","0.00","0.00",085
52,"B0000304653392","2025-06-17",12960799,2,46219.99,14953.80,38198.34,0.00,8021.65,0.00000000000,"1328.78",0.00,"14953.80","0.00","","0.00","0.00",085
53,"B0000304653393","2025-06-17",12984620,2,78327.36,28105.50,64733.35,0.00,13594.00,0.00000000000,"2251.84",0.00,"24956.70","3148.80","","0.00","0.00",085
54,"B0000304653394","2025-06-17",12998664,2,62845.40,19240.35,51938.35,0.00,10907.05,0.00000000000,"1806.74",0.00,"14397.00","4843.35","","0.00","0.00",085
55,"B0000304653395","2025-06-17",13008200,2,59527.51,23171.85,49196.29,0.00,10331.22,0.00000000000,"1711.36",0.00,"22047.30","1124.55","","0.00","0.00",085
56,"B0000304653396","2025-06-17",13152670,2,128876.84,34199.25,106509.79,0.00,22367.06,0.00000000000,"3705.08",0.00,"22426.80","11772.45","","0.00","0.00",085
57,"B0000304653397","2025-06-17",13229893,2,103766.65,38300.55,85757.56,0.00,18009.09,0.00000000000,"2983.19",0.00,"36875.70","1424.85","","0.00","0.00",085
